CODIGO,NOMBRE,DESCRIPCION,COMPRA,MAYOREO,LLEVAR,COLOCADO,EXISTENCIAS,CANT_MIN,TIPO_MED,PROVEEDOR,CATEGORIA,MARCA1,MODELO1,ANIO1,MARCA2,MODELO2,ANIO2,MARCA3,MODELO3,ANIO3,MARCA4,MODELO4,ANIO4,MARCA5,MODELO5,ANIO5
DW01448GBY,,TRAIL BLAZER/ENVOY/ASCEENDER 02-09 SOMBREADO FW01447,,"$1,400.00","$1,500.00","$1,600.00",6,,,CITSA,PARABRISAS,CHEVROLET,,45537,,,,,,,,,,,,
FW00615BTN ,,TRACKER 2/4 PTAS 89-98,$965.00,"$1,350.00","$1,450.00","$1,550.00",5,,,CRINAMEX,PARABRISAS,CHEVROLET,,89-98,,,,,,,,,,,,
FW02105GBN,,TRACKER/VITARA 2/4 PTAS 99-08,,"$1,100.00","$1,200.00","$1,300.00",1,,,CRINAMEX,PARABRISAS,CHEVROLET,,99-08,,,,,,,,,,,,
DW01934GBN,,SONIC 4 PTAS HB 12-18,,"$1,420.00","$1,570.00","$1,720.00",5,,,CITSA,PARABRISAS,CHEVROLET,,43435,,,,,,,,,,,,
FW02003GTY,,TRAX 4 PTAS 13-16,,"$1,400.00","$1,550.00","$1,700.00",5,,,CITSA,PARABRISAS,CHEVROLET,,13-16,,,,,,,,,,,,
DW01454GBN,,VENTURE /MONTANA /TRANS SPORT VAN 97-05 (LE KEDA 01574)     (PRECIO 1$1620),,"$1,600.00","$1,700.00","$1,900.00",,,,CRINAMEX,PARABRISAS,CHEVROLET,,97-05,,,,,,,,,,,,
DW01574GBN,,"UPLANDER/MONTANA SV6 06-09                                              (PRECIO 1,$1376)",,"$1,530.00","$1,630.00","$1,850.00",,,,,PARABRISAS,CHEVROLET,,45541,,,,,,,,,,,,
DW01598GBN,,VECTRA 4 PTAS SEDAN 02-08,,"$1,300.00","$1,400.00","$1,500.00",5,,,CITSA,PARABRISAS,CHEVROLET,,45506,,,,,,,,,,,,
DW01598GBN,,VECTRA 4 PTAS SEDAN 02-08 USADO,,"$1,150.00","$1,250.00","$1,350.00",,,,USADO,,,,45506,,,,,,,,,,,,
DW01501GBN,,ZAFIRA MINI VAN 02-05,,"$1,400.00","$1,500.00","$1,600.00",2,,,,PARABRISAS,CHEVROLET,,45414,,,,,,,,,,,,
DW01549GBY,,CADILLAC ESCALED 05,,"$1,100.00","$1,200.00","$1,400.00",,,,,PARABRISAS,CHEVROLET,,,,,,,,,,,,,,
DW01155GBN,,CAMARO 93-99 ,,"$2,000.00","$2,100.00","$2,350.00",,,,CRINAMEX,PARABRISAS,CHEVROLET,,93-99,,,,,,,,,,,,
,,CHRYSLER,,,,,,,,,PARABRISAS,,,,,,,,,,,,,,,
DW01442CLN,,ATOS 4PTS 01-11,,"$1,070.00","$1,170.00","$1,320.00",4,,,CRINAMEX,PARABRISAS,CHRYSLER,,45597,,,,,,,,,,,,
DW01571GBN,,300 4 PTAS. SEDAN 2005 / 2009  DODGE CHARGER 4 PTAS. 2006 / 2009 CHECAR,"$1,170.00","$1,620.00","$1,770.00","$1,950.00",2,,,CRINAMEX,PARABRISAS,CHRYSLER,,,,,,,,,,,,,,
FW02716GBN,,ATITUDE 4PTS /ACCET 2/4 HB Y SEDAN 06-11 FW02632GTN,,"$1,200.00","$1,400.00","$1,500.00",1,,,CITSA,PARABRISAS,CHRYSLER,,45602,,,,,,,,,,,,
FW02716GBN,,ATITUDE 4PTS /ACCET 2/4 HB Y SEDAN 06-11 FW02632GTN,,"$1,560.00","$1,660.00","$1,900.00",,,,CRINAMEX,PARABRISAS,CHRYSLER,,45602,,,,,,,,,,,,
